"","Year","State","mk1","mk2","measure","other","type","chem_name","chem_index","Value"
"57",2023,"CALIFORNIA","BEARING","APPLICATIONS","LB",NA,"HERBICIDE","OXYFLUORFEN","111601","(D)"
"58",2023,"CALIFORNIA","BEARING","APPLICATIONS","LB",NA,"HERBICIDE","PENDIMETHALIN","108501","71,400"
"59",2023,"CALIFORNIA","BEARING","APPLICATIONS","LB",NA,"HERBICIDE","TOTAL",NA,"89,700"
"60",2023,"CALIFORNIA","BEARING","APPLICATIONS","LB",NA,"INSECTICIDE","ABAMECTIN","122804","300"
"61",2023,"CALIFORNIA","BEARING","APPLICATIONS","LB",NA,"INSECTICIDE","ACEQUINOCYL","6329","12,800"
"62",2023,"CALIFORNIA","BEARING","APPLICATIONS","LB",NA,"INSECTICIDE","ACETAMIPRID","99050","3,300"
"63",2023,"CALIFORNIA","BEARING","APPLICATIONS","LB",NA,"INSECTICIDE","AZADIRACHTIN","121701","2,800"
"64",2023,"CALIFORNIA","BEARING","APPLICATIONS","LB",NA,"INSECTICIDE","BEAUVERIA BASSIANA","128924","(NA)"
"65",2023,"CALIFORNIA","BEARING","APPLICATIONS","LB",NA,"INSECTICIDE","BIFENAZATE","586","28,700"
"66",2023,"CALIFORNIA","BEARING","APPLICATIONS","LB",NA,"INSECTICIDE","BIFENTHRIN","128825","4,600"
"67",2023,"CALIFORNIA","BEARING","APPLICATIONS","LB",NA,"INSECTICIDE","BT KURSTAK ABTS-1857","6523","(NA)"
"68",2023,"CALIFORNIA","BEARING","APPLICATIONS","LB",NA,"INSECTICIDE","BT KURSTAKI ABTS-351","6522","(NA)"
"69",2023,"CALIFORNIA","BEARING","APPLICATIONS","LB",NA,"INSECTICIDE","BT KURSTAKI SA-11","6519","(NA)"
"70",2023,"CALIFORNIA","BEARING","APPLICATIONS","LB",NA,"INSECTICIDE","CANOLA OIL","11332","(D)"
"71",2023,"CALIFORNIA","BEARING","APPLICATIONS","LB",NA,"INSECTICIDE","CHLORANTRANILIPROLE","90100","2,000"
"72",2023,"CALIFORNIA","BEARING","APPLICATIONS","LB",NA,"INSECTICIDE","CHROMOBAC SUBTSUGAE PRAA4-1 CELLS AND SPENT MEDIA","16329","(NA)"
"73",2023,"CALIFORNIA","BEARING","APPLICATIONS","LB",NA,"INSECTICIDE","CYANTRANILIPROLE","90098","1,700"
"74",2023,"CALIFORNIA","BEARING","APPLICATIONS","LB",NA,"INSECTICIDE","CYFLUMETOFEN","138831","7,600"
"75",2023,"CALIFORNIA","BEARING","APPLICATIONS","LB",NA,"INSECTICIDE","ETOXAZOLE","107091","(D)"
"76",2023,"CALIFORNIA","BEARING","APPLICATIONS","LB",NA,"INSECTICIDE","FENBUTATIN-OXIDE","104601","(D)"
"77",2023,"CALIFORNIA","BEARING","APPLICATIONS","LB",NA,"INSECTICIDE","FENPROPATHRIN","127901","6,600"
"78",2023,"CALIFORNIA","BEARING","APPLICATIONS","LB",NA,"INSECTICIDE","FENPYROXIMATE","129131","(D)"
"79",2023,"CALIFORNIA","BEARING","APPLICATIONS","LB",NA,"INSECTICIDE","FLONICAMID","128016","6,200"
"80",2023,"CALIFORNIA","BEARING","APPLICATIONS","LB",NA,"INSECTICIDE","FLUPYRADIFURONE","122304","5,000"
"81",2023,"CALIFORNIA","BEARING","APPLICATIONS","LB",NA,"INSECTICIDE","HEXYTHIAZOX","128849","5,400"
"82",2023,"CALIFORNIA","BEARING","APPLICATIONS","LB",NA,"INSECTICIDE","IMIDACLOPRID","129099","3,100"
"83",2023,"CALIFORNIA","BEARING","APPLICATIONS","LB",NA,"INSECTICIDE","LAMBDA-CYHALOTHRIN","128897","(D)"
"84",2023,"CALIFORNIA","BEARING","APPLICATIONS","LB",NA,"INSECTICIDE","MALATHION","57701","19,400"
"85",2023,"CALIFORNIA","BEARING","APPLICATIONS","LB",NA,"INSECTICIDE","METHOXYFENOZIDE","121027","7,900"
"86",2023,"CALIFORNIA","BEARING","APPLICATIONS","LB",NA,"INSECTICIDE","NALED","34401","(D)"
"87",2023,"CALIFORNIA","BEARING","APPLICATIONS","LB",NA,"INSECTICIDE","NEEM OIL","25006","(D)"
"88",2023,"CALIFORNIA","BEARING","APPLICATIONS","LB",NA,"INSECTICIDE","NEEM OIL, CLAR. HYD.","25007","(D)"
"89",2023,"CALIFORNIA","BEARING","APPLICATIONS","LB",NA,"INSECTICIDE","NOVALURON","124002","5,600"
"90",2023,"CALIFORNIA","BEARING","APPLICATIONS","LB",NA,"INSECTICIDE","PIPERONYL BUTOXIDE","67501","(D)"
"91",2023,"CALIFORNIA","BEARING","APPLICATIONS","LB",NA,"INSECTICIDE","PYRETHRINS","69001","(D)"
"92",2023,"CALIFORNIA","BEARING","APPLICATIONS","LB",NA,"INSECTICIDE","PYRIDABEN","129105","(D)"
"93",2023,"CALIFORNIA","BEARING","APPLICATIONS","LB",NA,"INSECTICIDE","SPINETORAM","110007","3,800"
"94",2023,"CALIFORNIA","BEARING","APPLICATIONS","LB",NA,"INSECTICIDE","SPINOSAD","110003","2,000"
"95",2023,"CALIFORNIA","BEARING","APPLICATIONS","LB",NA,"INSECTICIDE","THIAMETHOXAM","60109","1,300"
"96",2023,"CALIFORNIA","BEARING","APPLICATIONS","LB",NA,"INSECTICIDE","TOTAL",NA,"231,600"
"97",2023,"CALIFORNIA","BEARING","APPLICATIONS","LB",NA,"OTHER","ACIBENZOLAR-S-METHYL","61402","(D)"
"98",2023,"CALIFORNIA","BEARING","APPLICATIONS","LB",NA,"OTHER","CAPSICUM OLEORESIN EXTRACT","70704","(NA)"
"99",2023,"CALIFORNIA","BEARING","APPLICATIONS","LB",NA,"OTHER","CHLOROPICRIN","81501","11,299,000"
"100",2023,"CALIFORNIA","BEARING","APPLICATIONS","LB",NA,"OTHER","DICHLOROPROPENE","29001","1,642,600"
"101",2023,"CALIFORNIA","BEARING","APPLICATIONS","LB",NA,"OTHER","FLUTRIAFOL","128940","3,900"
"102",2023,"CALIFORNIA","BEARING","APPLICATIONS","LB",NA,"OTHER","GARLIC OIL","128827","(D)"
"103",2023,"CALIFORNIA","BEARING","APPLICATIONS","LB",NA,"OTHER","HYDROGEN PEROXIDE","595","(D)"
"104",2023,"CALIFORNIA","BEARING","APPLICATIONS","LB",NA,"OTHER","IRON PHOSPHATE","34903","(D)"
"105",2023,"CALIFORNIA","BEARING","APPLICATIONS","LB",NA,"OTHER","METALDEHYDE","53001","(D)"
"106",2023,"CALIFORNIA","BEARING","APPLICATIONS","LB",NA,"OTHER","METAM-POTASSIUM","39002","(D)"
"107",2023,"CALIFORNIA","BEARING","APPLICATIONS","LB",NA,"OTHER","METAM-SODIUM","39003","(D)"
"108",2023,"CALIFORNIA","BEARING","APPLICATIONS","LB",NA,"OTHER","PEROXYACETIC ACID","63201","(D)"
"109",2023,"CALIFORNIA","BEARING","APPLICATIONS","LB",NA,"OTHER","PSEUDOMONAS CHLORORAPHIS STRAIN AFS009","6800","(NA)"
"110",2023,"CALIFORNIA","BEARING","APPLICATIONS","LB",NA,"OTHER","REYNOUTRIA SACHALINE","55809","(D)"
"111",2023,"CALIFORNIA","BEARING","APPLICATIONS","LB",NA,"OTHER","TOTAL",NA,"15,611,900"
"112",2023,"CALIFORNIA","BEARING","APPLICATIONS","LB / ACRE / APPLICATION","AVG","FUNGICIDE","AZOXYSTROBIN","128810","0.234"
"113",2023,"CALIFORNIA","BEARING","APPLICATIONS","LB / ACRE / APPLICATION","AVG","FUNGICIDE","BACILLUS AMYLOLIQUEFACIENS STRAIN D747","16482","(NA)"
"114",2023,"CALIFORNIA","BEARING","APPLICATIONS","LB / ACRE / APPLICATION","AVG","FUNGICIDE","BACILLUS SUBTILIS","6479","(NA)"
"115",2023,"CALIFORNIA","BEARING","APPLICATIONS","LB / ACRE / APPLICATION","AVG","FUNGICIDE","BLAD","30006","(D)"
"116",2023,"CALIFORNIA","BEARING","APPLICATIONS","LB / ACRE / APPLICATION","AVG","FUNGICIDE","BORAX DECAHYDRATE","11102","0.042"
"117",2023,"CALIFORNIA","BEARING","APPLICATIONS","LB / ACRE / APPLICATION","AVG","FUNGICIDE","BOSCALID","128008","0.354"
"118",2023,"CALIFORNIA","BEARING","APPLICATIONS","LB / ACRE / APPLICATION","AVG","FUNGICIDE","BT SUBSP KURSTAKI EVB-113-19","6544","(NA)"
"119",2023,"CALIFORNIA","BEARING","APPLICATIONS","LB / ACRE / APPLICATION","AVG","FUNGICIDE","CAPTAN","81301","1.693"
"120",2023,"CALIFORNIA","BEARING","APPLICATIONS","LB / ACRE / APPLICATION","AVG","FUNGICIDE","CYFLUFENAMID","555550","(D)"
"121",2023,"CALIFORNIA","BEARING","APPLICATIONS","LB / ACRE / APPLICATION","AVG","FUNGICIDE","CYPRODINIL","288202","0.316"
"122",2023,"CALIFORNIA","BEARING","APPLICATIONS","LB / ACRE / APPLICATION","AVG","FUNGICIDE","DIFENOCONAZOLE","128847","(D)"
"123",2023,"CALIFORNIA","BEARING","APPLICATIONS","LB / ACRE / APPLICATION","AVG","FUNGICIDE","FENHEXAMID","90209","0.659"
"124",2023,"CALIFORNIA","BEARING","APPLICATIONS","LB / ACRE / APPLICATION","AVG","FUNGICIDE","FLUDIOXONIL","71503","0.211"
"125",2023,"CALIFORNIA","BEARING","APPLICATIONS","LB / ACRE / APPLICATION","AVG","FUNGICIDE","FLUOPYRAM","80302","0.119"
"126",2023,"CALIFORNIA","BEARING","APPLICATIONS","LB / ACRE / APPLICATION","AVG","FUNGICIDE","FLUXAPYROXAD","138009","0.161"
"127",2023,"CALIFORNIA","BEARING","APPLICATIONS","LB / ACRE / APPLICATION","AVG","FUNGICIDE","FOSETYL-AL","123301","(D)"
"128",2023,"CALIFORNIA","BEARING","APPLICATIONS","LB / ACRE / APPLICATION","AVG","FUNGICIDE","ISOFETAMID","270000","(D)"
"129",2023,"CALIFORNIA","BEARING","APPLICATIONS","LB / ACRE / APPLICATION","AVG","FUNGICIDE","MEFENOXAM","113502","0.5"
"130",2023,"CALIFORNIA","BEARING","APPLICATIONS","LB / ACRE / APPLICATION","AVG","FUNGICIDE","MONO-POTASSIUM SALT","76416","(D)"
"131",2023,"CALIFORNIA","BEARING","APPLICATIONS","LB / ACRE / APPLICATION","AVG","FUNGICIDE","MYCLOBUTANIL","128857","0.105"
"132",2023,"CALIFORNIA","BEARING","APPLICATIONS","LB / ACRE / APPLICATION","AVG","FUNGICIDE","PENTHIOPYRAD","90112","0.271"
"133",2023,"CALIFORNIA","BEARING","APPLICATIONS","LB / ACRE / APPLICATION","AVG","FUNGICIDE","POLYOXIN D ZINC SALT","230000","0.061"
"134",2023,"CALIFORNIA","BEARING","APPLICATIONS","LB / ACRE / APPLICATION","AVG","FUNGICIDE","PROPICONAZOLE","122101","0.112"
"135",2023,"CALIFORNIA","BEARING","APPLICATIONS","LB / ACRE / APPLICATION","AVG","FUNGICIDE","PYDIFLUMETOFEN","90110","(D)"
"136",2023,"CALIFORNIA","BEARING","APPLICATIONS","LB / ACRE / APPLICATION","AVG","FUNGICIDE","PYRACLOSTROBIN","99100","0.167"
"137",2023,"CALIFORNIA","BEARING","APPLICATIONS","LB / ACRE / APPLICATION","AVG","FUNGICIDE","PYRIMETHANIL","288201","0.658"
"138",2023,"CALIFORNIA","BEARING","APPLICATIONS","LB / ACRE / APPLICATION","AVG","FUNGICIDE","QUINOLINE","55459","0.095"
"139",2023,"CALIFORNIA","BEARING","APPLICATIONS","LB / ACRE / APPLICATION","AVG","FUNGICIDE","SULFUR","77501","5.471"
"140",2023,"CALIFORNIA","BEARING","APPLICATIONS","LB / ACRE / APPLICATION","AVG","FUNGICIDE","TETRACONAZOLE","120603","0.036"
"141",2023,"CALIFORNIA","BEARING","APPLICATIONS","LB / ACRE / APPLICATION","AVG","FUNGICIDE","THIOPHANATE-METHYL","102001","0.695"
"142",2023,"CALIFORNIA","BEARING","APPLICATIONS","LB / ACRE / APPLICATION","AVG","FUNGICIDE","THIRAM","79801","2.201"
"143",2023,"CALIFORNIA","BEARING","APPLICATIONS","LB / ACRE / APPLICATION","AVG","FUNGICIDE","TRIFLOXYSTROBIN","129112","0.119"
"144",2023,"CALIFORNIA","BEARING","APPLICATIONS","LB / ACRE / APPLICATION","AVG","FUNGICIDE","TRIFLUMIZOLE","128879","(D)"
"145",2023,"CALIFORNIA","BEARING","APPLICATIONS","LB / ACRE / APPLICATION","AVG","HERBICIDE","CARFENTRAZONE-ETHYL","128712","(D)"
"146",2023,"CALIFORNIA","BEARING","APPLICATIONS","LB / ACRE / APPLICATION","AVG","HERBICIDE","FLUMIOXAZIN","129034","0.078"
"147",2023,"CALIFORNIA","BEARING","APPLICATIONS","LB / ACRE / APPLICATION","AVG","HERBICIDE","OXYFLUORFEN","111601","(D)"
"148",2023,"CALIFORNIA","BEARING","APPLICATIONS","LB / ACRE / APPLICATION","AVG","HERBICIDE","PENDIMETHALIN","108501","0.923"
"149",2023,"CALIFORNIA","BEARING","APPLICATIONS","LB / ACRE / APPLICATION","AVG","INSECTICIDE","ABAMECTIN","122804","0.019"
"150",2023,"CALIFORNIA","BEARING","APPLICATIONS","LB / ACRE / APPLICATION","AVG","INSECTICIDE","ACEQUINOCYL","6329","0.299"
"151",2023,"CALIFORNIA","BEARING","APPLICATIONS","LB / ACRE / APPLICATION","AVG","INSECTICIDE","ACETAMIPRID","99050","0.129"
"152",2023,"CALIFORNIA","BEARING","APPLICATIONS","LB / ACRE / APPLICATION","AVG","INSECTICIDE","AZADIRACHTIN","121701","0.03"
"153",2023,"CALIFORNIA","BEARING","APPLICATIONS","LB / ACRE / APPLICATION","AVG","INSECTICIDE","BEAUVERIA BASSIANA","128924","(NA)"
"154",2023,"CALIFORNIA","BEARING","APPLICATIONS","LB / ACRE / APPLICATION","AVG","INSECTICIDE","BIFENAZATE","586","0.5"
"155",2023,"CALIFORNIA","BEARING","APPLICATIONS","LB / ACRE / APPLICATION","AVG","INSECTICIDE","BIFENTHRIN","128825","0.116"
"156",2023,"CALIFORNIA","BEARING","APPLICATIONS","LB / ACRE / APPLICATION","AVG","INSECTICIDE","BT KURSTAK ABTS-1857","6523","(NA)"
"157",2023,"CALIFORNIA","BEARING","APPLICATIONS","LB / ACRE / APPLICATION","AVG","INSECTICIDE","BT KURSTAKI ABTS-351","6522","(NA)"
"158",2023,"CALIFORNIA","BEARING","APPLICATIONS","LB / ACRE / APPLICATION","AVG","INSECTICIDE","BT KURSTAKI SA-11","6519","(NA)"
"159",2023,"CALIFORNIA","BEARING","APPLICATIONS","LB / ACRE / APPLICATION","AVG","INSECTICIDE","CANOLA OIL","11332","(D)"
"160",2023,"CALIFORNIA","BEARING","APPLICATIONS","LB / ACRE / APPLICATION","AVG","INSECTICIDE","CHLORANTRANILIPROLE","90100","0.063"
"161",2023,"CALIFORNIA","BEARING","APPLICATIONS","LB / ACRE / APPLICATION","AVG","INSECTICIDE","CHROMOBAC SUBTSUGAE PRAA4-1 CELLS AND SPENT MEDIA","16329","(NA)"
"162",2023,"CALIFORNIA","BEARING","APPLICATIONS","LB / ACRE / APPLICATION","AVG","INSECTICIDE","CYANTRANILIPROLE","90098","0.117"
"163",2023,"CALIFORNIA","BEARING","APPLICATIONS","LB / ACRE / APPLICATION","AVG","INSECTICIDE","CYFLUMETOFEN","138831","0.178"
"164",2023,"CALIFORNIA","BEARING","APPLICATIONS","LB / ACRE / APPLICATION","AVG","INSECTICIDE","ETOXAZOLE","107091","(D)"
"165",2023,"CALIFORNIA","BEARING","APPLICATIONS","LB / ACRE / APPLICATION","AVG","INSECTICIDE","FENBUTATIN-OXIDE","104601","(D)"
"166",2023,"CALIFORNIA","BEARING","APPLICATIONS","LB / ACRE / APPLICATION","AVG","INSECTICIDE","FENPROPATHRIN","127901","0.26"
"167",2023,"CALIFORNIA","BEARING","APPLICATIONS","LB / ACRE / APPLICATION","AVG","INSECTICIDE","FENPYROXIMATE","129131","(D)"
"168",2023,"CALIFORNIA","BEARING","APPLICATIONS","LB / ACRE / APPLICATION","AVG","INSECTICIDE","FLONICAMID","128016","0.087"
"169",2023,"CALIFORNIA","BEARING","APPLICATIONS","LB / ACRE / APPLICATION","AVG","INSECTICIDE","FLUPYRADIFURONE","122304","0.182"
"170",2023,"CALIFORNIA","BEARING","APPLICATIONS","LB / ACRE / APPLICATION","AVG","INSECTICIDE","HEXYTHIAZOX","128849","0.186"
"171",2023,"CALIFORNIA","BEARING","APPLICATIONS","LB / ACRE / APPLICATION","AVG","INSECTICIDE","IMIDACLOPRID","129099","0.457"
"172",2023,"CALIFORNIA","BEARING","APPLICATIONS","LB / ACRE / APPLICATION","AVG","INSECTICIDE","LAMBDA-CYHALOTHRIN","128897","(D)"
"173",2023,"CALIFORNIA","BEARING","APPLICATIONS","LB / ACRE / APPLICATION","AVG","INSECTICIDE","MALATHION","57701","1.807"
"174",2023,"CALIFORNIA","BEARING","APPLICATIONS","LB / ACRE / APPLICATION","AVG","INSECTICIDE","METHOXYFENOZIDE","121027","0.169"
"175",2023,"CALIFORNIA","BEARING","APPLICATIONS","LB / ACRE / APPLICATION","AVG","INSECTICIDE","NALED","34401","(D)"
"176",2023,"CALIFORNIA","BEARING","APPLICATIONS","LB / ACRE / APPLICATION","AVG","INSECTICIDE","NEEM OIL","25006","(D)"
"177",2023,"CALIFORNIA","BEARING","APPLICATIONS","LB / ACRE / APPLICATION","AVG","INSECTICIDE","NEEM OIL, CLAR. HYD.","25007","(D)"
"178",2023,"CALIFORNIA","BEARING","APPLICATIONS","LB / ACRE / APPLICATION","AVG","INSECTICIDE","NOVALURON","124002","0.077"
"179",2023,"CALIFORNIA","BEARING","APPLICATIONS","LB / ACRE / APPLICATION","AVG","INSECTICIDE","PIPERONYL BUTOXIDE","67501","(D)"
"180",2023,"CALIFORNIA","BEARING","APPLICATIONS","LB / ACRE / APPLICATION","AVG","INSECTICIDE","PYRETHRINS","69001","(D)"
"181",2023,"CALIFORNIA","BEARING","APPLICATIONS","LB / ACRE / APPLICATION","AVG","INSECTICIDE","PYRIDABEN","129105","(D)"
"182",2023,"CALIFORNIA","BEARING","APPLICATIONS","LB / ACRE / APPLICATION","AVG","INSECTICIDE","SPINETORAM","110007","0.071"
"183",2023,"CALIFORNIA","BEARING","APPLICATIONS","LB / ACRE / APPLICATION","AVG","INSECTICIDE","SPINOSAD","110003","0.094"
"184",2023,"CALIFORNIA","BEARING","APPLICATIONS","LB / ACRE / APPLICATION","AVG","INSECTICIDE","THIAMETHOXAM","60109","0.062"
"185",2023,"CALIFORNIA","BEARING","APPLICATIONS","LB / ACRE / APPLICATION","AVG","OTHER","ACIBENZOLAR-S-METHYL","61402","(D)"
"186",2023,"CALIFORNIA","BEARING","APPLICATIONS","LB / ACRE / APPLICATION","AVG","OTHER","CAPSICUM OLEORESIN EXTRACT","70704","(NA)"
"187",2023,"CALIFORNIA","BEARING","APPLICATIONS","LB / ACRE / APPLICATION","AVG","OTHER","CHLOROPICRIN","81501","188.284"
"188",2023,"CALIFORNIA","BEARING","APPLICATIONS","LB / ACRE / APPLICATION","AVG","OTHER","DICHLOROPROPENE","29001","111.391"
"189",2023,"CALIFORNIA","BEARING","APPLICATIONS","LB / ACRE / APPLICATION","AVG","OTHER","FLUTRIAFOL","128940","0.114"
"190",2023,"CALIFORNIA","BEARING","APPLICATIONS","LB / ACRE / APPLICATION","AVG","OTHER","GARLIC OIL","128827","(D)"
"191",2023,"CALIFORNIA","BEARING","APPLICATIONS","LB / ACRE / APPLICATION","AVG","OTHER","HYDROGEN PEROXIDE","595","(D)"
"192",2023,"CALIFORNIA","BEARING","APPLICATIONS","LB / ACRE / APPLICATION","AVG","OTHER","IRON PHOSPHATE","34903","(D)"
"193",2023,"CALIFORNIA","BEARING","APPLICATIONS","LB / ACRE / APPLICATION","AVG","OTHER","METALDEHYDE","53001","(D)"
"194",2023,"CALIFORNIA","BEARING","APPLICATIONS","LB / ACRE / APPLICATION","AVG","OTHER","METAM-POTASSIUM","39002","(D)"
